id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1178035,2024-02-16,000001,Vente,700000,9001,,ILET FEUILLE,B181,97110,97120,Pointe-à-Pitre,971,,,97120000AV0003,,,,,,,,,,,,,0,1,Maison,150,5,S,sols,,,526,-61.555784,16.228744
2024-1178077,2024-02-26,000001,Vente,80000,36,,RUE LAMARTINE,0500,97110,97120,Pointe-à-Pitre,971,,,97120000AH0519,,,,,,,,,,,,,0,2,Appartement,18,2,S,sols,,,87,-61.536779,16.239465
2024-1178077,2024-02-26,000001,Vente,80000,36,,RUE LAMARTINE,0500,97110,97120,Pointe-à-Pitre,971,,,97120000AH0519,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,18,0,S,sols,,,87,-61.536779,16.239465
2024-1178077,2024-02-26,000001,Vente,80000,36,,RUE LAMARTINE,0500,97110,97120,Pointe-à-Pitre,971,,,97120000AH0519,,,,,,,,,,,,,0,2,Appartement,46,4,S,sols,,,87,-61.536779,16.239465
2024-1178092,2024-02-07,000001,Vente,25000,8003,,QUAI FERDINAND DE LESSEPS,0370,97110,97120,Pointe-à-Pitre,971,,,97120000AK0241,,,25,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,7,0,,,,,,-61.537205,16.235301
2024-1178092,2024-02-07,000001,Vente,25000,19,,QUAI FERDINAND DE LESSEPS,0370,97110,97120,Pointe-à-Pitre,971,,,97120000AK0241,,,22,,23,,,,,,,,2,4,Local industriel. commercial ou assimilé,53,0,,,,,,-61.537205,16.235301
2024-1178095,2024-02-20,000001,Vente,420000,48,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AI0068,,,,,,,,,,,,,0,2,Appartement,185,5,S,sols,,,175,-61.536882,16.23802
2024-1178095,2024-02-20,000001,Vente,420000,48,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AI0068,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,147,0,S,sols,,,175,-61.536882,16.23802
2024-1178123,2024-02-09,000001,Vente,22000,3,,RUE DELGRES,0228,97110,97120,Pointe-à-Pitre,971,,,97120000AK0177,,,6,,,,,,,,,,1,2,Appartement,29,2,,,,,,-61.536138,16.235713
2024-1178144,2024-02-08,000001,Vente,126475,1,,LA DIGUE,B120,97110,97120,Pointe-à-Pitre,971,,,97120000AS0117,,,90,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.53042,16.217902
2024-1178144,2024-02-08,000001,Vente,126475,1,,LA DIGUE,B120,97110,97120,Pointe-à-Pitre,971,,,97120000AS0117,,,17,,,,,,,,,,1,2,Appartement,20,1,,,,,,-61.53042,16.217902
2024-1178207,2024-02-29,000001,Vente,649516.44,35,,LE MOLE PORTUAIRE,B240,97110,97120,Pointe-à-Pitre,971,,,97120000AS0018,,,42,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.527746,16.218977
2024-1178207,2024-02-29,000001,Vente,649516.44,1,,LE MOLE PORTUAIRE,B240,97110,97120,Pointe-à-Pitre,971,,,97120000AS0018,,,7,139.92,,,,,,,,,1,2,Appartement,103,4,,,,,,-61.527746,16.218977
2024-1178207,2024-02-29,000001,Vente,649516.44,35,,LE MOLE PORTUAIRE,B240,97110,97120,Pointe-à-Pitre,971,,,97120000AS0018,,,76,,,,,,,,,,1,3,Dépendance,,0,,,,,,-61.527746,16.218977
2024-1178212,2024-02-26,000001,Vente,26500,8,,FG ALEXANDRE ISAAC,0040,97110,97120,Pointe-à-Pitre,971,,,97120000AN0143,,,3,65.32,,,,,,,,,1,2,Appartement,75,3,,,,,,-61.53161,16.237426
2024-1178224,2024-02-29,000001,Vente,55000,8001,,MASSABIELLE,B224,97110,97120,Pointe-à-Pitre,971,,,97120000AO0345,,,3,56.58,,,,,,,,,1,2,Appartement,62,3,,,,,,-61.530968,16.235525
2024-1178243,2024-02-27,000001,Vente,210000,21,B,RUE SADI CARNOT,0710,97110,97120,Pointe-à-Pitre,971,,,97120000AI0061,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,60,0,S,sols,,,89,-61.536802,16.238241
2024-1178243,2024-02-27,000001,Vente,210000,21,B,RUE SADI CARNOT,0710,97110,97120,Pointe-à-Pitre,971,,,97120000AI0061,,,,,,,,,,,,,0,2,Appartement,130,4,S,sols,,,89,-61.536802,16.238241
2024-1178243,2024-02-27,000001,Vente,210000,21,B,RUE SADI CARNOT,0710,97110,97120,Pointe-à-Pitre,971,,,97120000AI0061,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,47,0,S,sols,,,89,-61.536802,16.238241
2024-1178249,2024-03-15,000001,Vente,131500,1,,RES SCHOELCHER,A190,97110,97120,Pointe-à-Pitre,971,,,97120000AE0311,,,44,,,,,,,,,,1,2,Appartement,82,4,,,,,,-61.534048,16.243093
2024-1178269,2024-01-05,000001,Vente,75000,9019,,BERGEVIN ZONE ARTISANALE,C025,97110,97120,Pointe-à-Pitre,971,,,97120000AC0074,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,115,0,S,sols,,,162,-61.5375,16.24464
2024-1178340,2024-03-27,000001,Vente,83000,32,,RUE GILBERT DE CHAMBERTRAND,0438,97110,97120,Pointe-à-Pitre,971,,,97120000AL0068,,,4,,,,,,,,,,1,2,Appartement,48,2,,,,,,-61.532698,16.23808
2024-1178343,2024-03-20,000001,Vente,56100,6,,BERGEVIN,B065,97110,97120,Pointe-à-Pitre,971,,,97120000AC0109,,,,,,,,,,,,,0,1,Maison,77,5,S,sols,,,91,-61.536759,16.246044
2024-1178365,2024-03-19,000001,Vente,93000,1,B,FG FREBAULT,0400,97110,97120,Pointe-à-Pitre,971,,,97120000AE0373,,,47,67.59,,,,,,,,,1,2,Appartement,67,3,,,,,,-61.534844,16.241303
2024-1178412,2024-04-15,000001,Vente,38000,44,,RUE FRANCOIS ARAGO,0390,97110,97120,Pointe-à-Pitre,971,,,97120000AM0138,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,57,-61.532499,16.238941
2024-1178413,2024-03-20,000001,Vente,145000,1,,RES POINSETTIA FERD CUIRASSIER,A167,97110,97120,Pointe-à-Pitre,971,,,97120000AE0180,,,35,,,,,,,,,,1,2,Appartement,89,4,,,,,,-61.533708,16.243236
2024-1178423,2024-03-26,000001,Vente,55000,,,RUE DUGOMMIER,0330,97110,97120,Pointe-à-Pitre,971,,,97120000AL0206,,,,,,,,,,,,,0,,,,,S,sols,,,81,-61.532784,16.236832
